payment_id,order_id,payment_amount,fee,tax,refund,adjustment,actual_settlement,status
pay_0001,ord_0001,5000,100.0,18.0,0.0,0,4882.0,captured
pay_0002,ord_0002,500,10.0,1.8,0.0,0,488.2,captured
pay_0003,ord_0003,500,10.0,1.8,0.0,0,488.2,captured
pay_0004,ord_0004,5000,100.0,18.0,0.0,0,4882.0,captured
pay_0005,ord_0005,1000,20.0,3.6,0.0,0,976.4,captured
pay_0006,ord_0006,750,15.0,2.7,0.0,0,732.3,captured
pay_0007,ord_0007,750,15.0,2.7,0.0,0,732.3,captured
pay_0008,ord_0008,750,15.0,2.7,0.0,0,732.3,captured
pay_0009,ord_0009,5000,100.0,18.0,0.0,0,4882.0,captured
pay_0010,ord_0010,500,10.0,1.8,0.0,0,488.2,captured
pay_0011,ord_0011,5000,100.0,18.0,0.0,0,4882.0,captured
pay_0012,ord_0012,5000,100.0,18.0,0.0,0,4882.0,captured
pay_0013,ord_0013,2500,50.0,9.0,0.0,0,2441.0,captured
pay_0014,ord_0014,500,10.0,1.8,0.0,0,488.2,captured
pay_0015,ord_0015,2500,50.0,9.0,0.0,0,2441.0,captured
pay_0016,ord_0016,1500,30.0,5.4,0.0,0,1464.6,captured
pay_0017,ord_0017,500,10.0,1.8,0.0,0,488.2,captured
pay_0018,ord_0018,500,10.0,1.8,0.0,0,488.2,captured
pay_0019,ord_0019,500,10.0,1.8,0.0,0,488.2,captured
pay_0020,ord_0020,750,15.0,2.7,0.0,0,732.3,captured
pay_0021,ord_0021,750,15.0,2.7,0.0,0,732.3,captured
pay_0022,ord_0022,2500,50.0,9.0,0.0,0,2441.0,captured
pay_0023,ord_0023,2500,50.0,9.0,0.0,0,2441.0,captured
pay_0024,ord_0024,500,10.0,1.8,0.0,0,488.2,captured
pay_0025,ord_0025,2500,50.0,9.0,0.0,0,2441.0,captured
pay_0026,ord_0026,750,15.0,2.7,0.0,0,732.3,captured
pay_0027,ord_0027,5000,100.0,18.0,0.0,0,4882.0,captured
pay_0028,ord_0028,5000,100.0,18.0,0.0,0,4882.0,captured
pay_0029,ord_0029,5000,100.0,18.0,0.0,0,4882.0,captured
pay_0030,ord_0030,2500,50.0,9.0,0.0,0,2441.0,captured
pay_0031,ord_0031,1500,30.0,5.4,0.0,0,1464.6,captured
pay_0032,ord_0032,750,15.0,2.7,0.0,0,732.3,captured
pay_0033,ord_0033,1500,30.0,5.4,0.0,0,1464.6,captured
pay_0034,ord_0034,2500,50.0,9.0,0.0,0,2441.0,captured
pay_0035,ord_0035,1000,20.0,3.6,0.0,0,976.4,captured
pay_0036,ord_0036,10000,200.0,36.0,0.0,0,9764.0,captured
pay_0037,ord_0037,10000,200.0,36.0,0.0,0,9764.0,captured
pay_0038,ord_0038,500,10.0,1.8,0.0,0,488.2,captured
pay_0039,ord_0039,10000,200.0,36.0,0.0,0,9764.0,captured
pay_0040,ord_0040,10000,200.0,36.0,0.0,0,9764.0,captured
pay_0041,ord_0041,750,15.0,2.7,0.0,0,732.3,captured
pay_0042,ord_0042,5000,100.0,18.0,0.0,0,4882.0,captured
pay_0043,ord_0043,1500,30.0,5.4,0.0,0,1464.6,captured
pay_0044,ord_0044,1000,20.0,3.6,0.0,0,976.4,captured
pay_0045,ord_0045,1000,20.0,3.6,0.0,0,976.4,captured
pay_0046,ord_0046,750,15.0,2.7,0.0,0,732.3,captured
pay_0047,ord_0047,750,15.0,2.7,0.0,0,732.3,captured
pay_0048,ord_0048,10000,200.0,36.0,0.0,0,9764.0,captured
pay_0049,ord_0049,1000,20.0,3.6,0.0,0,976.4,captured
pay_0050,ord_0050,500,10.0,1.8,0.0,0,488.2,captured
pay_0051,ord_0051,500,10.0,1.8,0.0,0,488.2,captured
pay_0052,ord_0052,1500,30.0,5.4,0.0,0,1464.6,captured
pay_0053,ord_0053,500,10.0,1.8,0.0,0,488.2,captured
pay_0054,ord_0054,1000,20.0,3.6,0.0,0,976.4,captured
