payment_id,order_id,payment_amount,fee,tax,refund,adjustment,actual_settlement,status,scenario,expected_settlement,expected_status,calculated_expected,settlement_difference,fee_ratio,tax_ratio,refund_ratio,adjustment_ratio,settlement_ratio,settlement_deviation_ratio,absolute_deviation_ratio
pay_0001,ord_0001,5000,100.0,18.0,0.0,0,4882.0,captured,normal,4882.0,RECONCILED,4882.0,0.0,0.02,0.0036,0.0,0.0,0.9764,0.0,0.0
pay_0002,ord_0002,500,10.0,1.8,0.0,0,488.2,captured,normal,488.2,RECONCILED,488.2,0.0,0.02,0.0036,0.0,0.0,0.9763999999999999,0.0,0.0
pay_0003,ord_0003,500,10.0,1.8,0.0,0,488.2,captured,normal,488.2,RECONCILED,488.2,0.0,0.02,0.0036,0.0,0.0,0.9763999999999999,0.0,0.0
pay_0004,ord_0004,5000,100.0,18.0,0.0,0,4882.0,captured,normal,4882.0,RECONCILED,4882.0,0.0,0.02,0.0036,0.0,0.0,0.9764,0.0,0.0
pay_0005,ord_0005,1000,20.0,3.6,0.0,0,976.4,captured,normal,976.4,RECONCILED,976.4,0.0,0.02,0.0036,0.0,0.0,0.9763999999999999,0.0,0.0
pay_0006,ord_0006,750,15.0,2.7,0.0,0,732.3,captured,normal,732.3,RECONCILED,732.3,0.0,0.02,0.0036000000000000003,0.0,0.0,0.9763999999999999,0.0,0.0
pay_0007,ord_0007,750,15.0,2.7,0.0,0,732.3,captured,normal,732.3,RECONCILED,732.3,0.0,0.02,0.0036000000000000003,0.0,0.0,0.9763999999999999,0.0,0.0
pay_0008,ord_0008,750,15.0,2.7,0.0,0,732.3,captured,normal,732.3,RECONCILED,732.3,0.0,0.02,0.0036000000000000003,0.0,0.0,0.9763999999999999,0.0,0.0
pay_0009,ord_0009,5000,100.0,18.0,0.0,0,4882.0,captured,normal,4882.0,RECONCILED,4882.0,0.0,0.02,0.0036,0.0,0.0,0.9764,0.0,0.0
pay_0010,ord_0010,500,10.0,1.8,0.0,0,488.2,captured,normal,488.2,RECONCILED,488.2,0.0,0.02,0.0036,0.0,0.0,0.9763999999999999,0.0,0.0
pay_0011,ord_0011,5000,100.0,18.0,0.0,0,4882.0,captured,normal,4882.0,RECONCILED,4882.0,0.0,0.02,0.0036,0.0,0.0,0.9764,0.0,0.0
pay_0012,ord_0012,5000,100.0,18.0,0.0,0,4882.0,captured,normal,4882.0,RECONCILED,4882.0,0.0,0.02,0.0036,0.0,0.0,0.9764,0.0,0.0
pay_0013,ord_0013,2500,50.0,9.0,0.0,0,2441.0,captured,normal,2441.0,RECONCILED,2441.0,0.0,0.02,0.0036,0.0,0.0,0.9764,0.0,0.0
pay_0014,ord_0014,500,10.0,1.8,0.0,0,488.2,captured,normal,488.2,RECONCILED,488.2,0.0,0.02,0.0036,0.0,0.0,0.9763999999999999,0.0,0.0
pay_0015,ord_0015,2500,50.0,9.0,0.0,0,2441.0,captured,normal,2441.0,RECONCILED,2441.0,0.0,0.02,0.0036,0.0,0.0,0.9764,0.0,0.0
pay_0016,ord_0016,1500,30.0,5.4,0.0,0,1464.6,captured,normal,1464.6,RECONCILED,1464.6,0.0,0.02,0.0036000000000000003,0.0,0.0,0.9763999999999999,0.0,0.0
