payment_id,scenario,expected_settlement,expected_status
pay_0001,normal,4882.0,RECONCILED
pay_0002,normal,488.2,RECONCILED
pay_0003,normal,488.2,RECONCILED
pay_0004,normal,4882.0,RECONCILED
pay_0005,normal,976.4,RECONCILED
pay_0006,normal,732.3,RECONCILED
pay_0007,normal,732.3,RECONCILED
pay_0008,normal,732.3,RECONCILED
pay_0009,normal,4882.0,RECONCILED
pay_0010,normal,488.2,RECONCILED
pay_0011,normal,4882.0,RECONCILED
pay_0012,normal,4882.0,RECONCILED
pay_0013,normal,2441.0,RECONCILED
pay_0014,normal,488.2,RECONCILED
pay_0015,normal,2441.0,RECONCILED
pay_0016,normal,1464.6,RECONCILED
pay_0017,normal,488.2,RECONCILED
pay_0018,normal,488.2,RECONCILED
pay_0019,normal,488.2,RECONCILED
pay_0020,normal,732.3,RECONCILED
pay_0021,normal,732.3,RECONCILED
pay_0022,normal,2441.0,RECONCILED
pay_0023,normal,2441.0,RECONCILED
pay_0024,normal,488.2,RECONCILED
pay_0025,normal,2441.0,RECONCILED
pay_0026,normal,732.3,RECONCILED
pay_0027,normal,4882.0,RECONCILED
pay_0028,normal,4882.0,RECONCILED
pay_0029,normal,4882.0,RECONCILED
pay_0030,normal,2441.0,RECONCILED
pay_0031,normal,1464.6,RECONCILED
pay_0032,normal,732.3,RECONCILED
pay_0033,normal,1464.6,RECONCILED
pay_0034,normal,2441.0,RECONCILED
pay_0035,normal,976.4,RECONCILED
pay_0036,normal,9764.0,RECONCILED
pay_0037,normal,9764.0,RECONCILED
pay_0038,normal,488.2,RECONCILED
pay_0039,normal,9764.0,RECONCILED
pay_0040,normal,9764.0,RECONCILED
pay_0041,normal,732.3,RECONCILED
pay_0042,normal,4882.0,RECONCILED
pay_0043,normal,1464.6,RECONCILED
pay_0044,normal,976.4,RECONCILED
pay_0045,normal,976.4,RECONCILED
pay_0046,normal,732.3,RECONCILED
pay_0047,normal,732.3,RECONCILED
pay_0048,normal,9764.0,RECONCILED
pay_0049,normal,976.4,RECONCILED
pay_0050,normal,488.2,RECONCILED
pay_0051,normal,488.2,RECONCILED
pay_0052,normal,1464.6,RECONCILED
pay_0053,normal,488.2,RECONCILED
pay_0054,normal,976.4,RECONCILED
pay_0055,normal,9764.0,RECONCILED
pay_0056,normal,976.4,RECONCILED
pay_0057,normal,2441.0,RECONCILED
pay_0058,normal,976.4,RECONCILED
pay_0059,normal,9764.0,RECONCILED
pay_0060,normal,488.2,RECONCILED
pay_0061,refund,2382.0,RECONCILED
pay_0062,refund,776.4,RECONCILED
pay_0063,refund,476.4,RECONCILED
pay_0064,refund,1191.0,RECONCILED
pay_0065,refund,7764.0,RECONCILED
pay_0066,refund,8764.0,RECONCILED
pay_0067,refund,876.4,RECONCILED
pay_0068,refund,1164.6,RECONCILED
pay_0069,refund,876.4,RECONCILED
pay_0070,refund,776.4,RECONCILED
pay_0071,adjustment,4932.0,RECONCILED
pay_0072,adjustment,4832.0,RECONCILED
pay_0073,adjustment,4907.0,RECONCILED
pay_0074,adjustment,2466.0,RECONCILED
pay_0075,adjustment,1076.4,RECONCILED
pay_0076,amount_discrepancy,2441.0,EXCEPTION
pay_0077,amount_discrepancy,2441.0,EXCEPTION
pay_0078,amount_discrepancy,9764.0,EXCEPTION
pay_0079,amount_discrepancy,2441.0,EXCEPTION
pay_0080,amount_discrepancy,976.4,EXCEPTION
pay_0081,missing_settlement,488.2,EXCEPTION
pay_0082,missing_settlement,2441.0,EXCEPTION
pay_0083,missing_settlement,4882.0,EXCEPTION
pay_0084,missing_settlement,2441.0,EXCEPTION
pay_0085,missing_settlement,488.2,EXCEPTION
pay_0086,duplicate_transaction,1464.6,EXCEPTION
pay_0087,duplicate_transaction,2441.0,EXCEPTION
pay_0088,duplicate_transaction,1464.6,EXCEPTION
pay_0089,duplicate_transaction,4882.0,EXCEPTION
pay_0090,duplicate_transaction,4882.0,EXCEPTION
pay_0091,wrong_settlement,9764.0,EXCEPTION
pay_0092,wrong_settlement,4882.0,EXCEPTION
pay_0093,wrong_settlement,2441.0,EXCEPTION
pay_0094,wrong_settlement,4882.0,EXCEPTION
pay_0095,wrong_settlement,9764.0,EXCEPTION
pay_0096,unexplained_difference,9764.0,UNRESOLVED
pay_0097,unexplained_difference,2441.0,UNRESOLVED
pay_0098,unexplained_difference,9764.0,UNRESOLVED
pay_0099,unexplained_difference,976.4,UNRESOLVED
pay_0100,unexplained_difference,2441.0,UNRESOLVED
